name;cases;diff;deaths;update
Baden-Wuerttem­berg;29.792;349;1.153;24.04.2020
Bayern;39.939;544;1.525;24.04.2020
Berlin;5.459;135;112;24.04.2020
Brandenburg;2.536;89;90;24.04.2020
Bremen;707;35;27;24.04.2020
Hamburg;4.358;72;122;24.04.2020
Hessen;7.712;119;296;24.04.2020
Mecklenburg-Vor­pommern;661;2;16;24.04.2020
Niedersachsen;9.544;153;364;24.04.2020
Nordrhein-West­falen;31.106;522;1.052;24.04.2020
Rhein­land-Pfalz;5.731;88;136;24.04.2020
Saarland;2.445;50;105;24.04.2020
Sachsen;4.377;50;135;24.04.2020
Sachsen-Anhalt;1.436;11;35;24.04.2020
Schles­wig-Holstein;2.557;27;88;24.04.2020
Thueringen;2.023;91;65;24.04.2020
Gesamt;150.383;2.337;5.321;24.04.2020
