name;cases;diff;deaths;update
Baden-Wuerttem­berg;29.443;545;1.113;23.04.2020
Bayern;39.395;581;1.476;23.04.2020
Berlin;5.324;12;105;23.04.2020
Brandenburg;2.447;58;84;23.04.2020
Bremen;672;48;27;23.04.2020
Hamburg;4.286;82;113;23.04.2020
Hessen;7.593;213;286;23.04.2020
Mecklenburg-Vor­pommern;659;3;15;23.04.2020
Niedersachsen;9.391;155;340;23.04.2020
Nordrhein-West­falen;30.584;399;999;23.04.2020
Rhein­land-Pfalz;5.643;50;131;23.04.2020
Saarland;2.395;28;99;23.04.2020
Sachsen;4.327;54;127;23.04.2020
Sachsen-Anhalt;1.425;30;34;23.04.2020
Schles­wig-Holstein;2.530;34;84;23.04.2020
Thueringen;1.932;60;61;23.04.2020
Gesamt;148.046;2.352;5.094;23.04.2020
