name;cases;diff;deaths;update
Baden-Wuerttem­berg;30.169;377;1.189;24.04.2020
Bayern;40.547;608;1.566;24.04.2020
Berlin;5.525;66;113;24.04.2020
Brandenburg;2.627;91;97;24.04.2020
Bremen;719;12;27;24.04.2020
Hamburg;4.400;42;139;24.04.2020
Hessen;7.837;125;305;24.04.2020
Mecklenburg-Vor­pommern;667;6;16;24.04.2020
Niedersachsen;9.691;147;377;24.04.2020
Nordrhein-West­falen;31.465;359;1.084;24.04.2020
Rhein­land-Pfalz;5.767;36;138;24.04.2020
Saarland;2.468;23;107;24.04.2020
Sachsen;4.406;29;141;24.04.2020
Sachsen-Anhalt;1.480;44;35;24.04.2020
Schles­wig-Holstein;2.612;55;95;24.04.2020
Thueringen;2.058;35;71;24.04.2020
Gesamt;152.438;2.055;5.500;24.04.2020
